Loss,Recall
0.6232642760643592,0.705
0.6082184452276963,0.705
0.6067673334708581,0.705
0.6072511214476365,0.705
0.6102735079251803,0.705
0.6150797880612887,0.705
0.6085696082848769,0.705
0.6043188938727746,0.705
0.6060261405431308,0.705
0.6052976204798772,0.705
0.6006557253690866,0.705
0.6143917120420016,0.705
0.6017958430143503,0.705
0.6035802914546087,0.705
0.6105049481758704,0.705
0.6068012301738446,0.705
0.6063169516049899,0.705
0.6084628059313848,0.705
0.6064544228407053,0.705
0.6044604273942801,0.705
0.6088911432486314,0.705
0.6057586348973788,0.705
0.6064180915172284,0.705
0.6056714057922363,0.705
0.6065819401007432,0.705
0.607569002188169,0.705
0.6062478056320777,0.705
0.605912983417511,0.705
0.6075470906037551,0.705
0.6047457227340112,0.705
0.6032496186403128,0.705
0.6094417434472305,0.705
0.6100355845231277,0.705
0.6051223186346201,0.705
0.6130477144167974,0.705
0.6065774605824397,0.705
0.6040824330770053,0.705
0.6046721660173856,0.705
0.6052877994684073,0.705
0.6055830487838159,0.705
0.6049172328068659,0.705
0.6057525139588577,0.705
0.6105496195646433,0.705
0.6099525323280921,0.705
0.607363237784459,0.705
0.605299555338346,0.705
0.607927143573761,0.705
0.6072279719206003,0.705
0.6052348544964423,0.705
0.602753235743596,0.705
0.6085023283958435,0.705
0.6055392301999606,0.705
0.6058051311052762,0.705
0.609656939139733,0.705
0.6035309800734887,0.705
0.6053697237601647,0.705
0.6062075037222642,0.705
0.6098565550950857,0.705
0.6089832782745361,0.705
0.6053353960697467,0.705
0.6051005583543044,0.705
0.605476228090433,0.705
0.612251341342926,0.705
0.612655914746798,0.705
0.6085804884250348,0.705
0.6083612762964689,0.705
0.6050592981852018,0.705
0.6062347430449265,0.705
0.6081174657895014,0.705
0.6005382033494803,0.705
0.6050292207644536,0.705
0.6014996537795434,0.705
0.6091118592482346,0.705
0.603513988164755,0.705
0.6069285411101121,0.705
0.6066571336526138,0.705
0.6053409989063556,0.705
0.6073117439563458,0.705
0.6043185729246873,0.705
0.608849442922152,0.705
0.6078926049746,0.705
0.6041433627788837,0.705
0.6046164402594933,0.705
0.6048679260107187,0.705
0.6126540899276733,0.705
0.6079918191983149,0.705
0.6052940579561087,0.705
0.6045947441687951,0.705
0.6070917065326984,0.705
0.6016657444146963,0.705
0.6099070356442378,0.705
0.6100872434102572,0.705
0.605728805065155,0.705
0.6074733000535232,0.705
0.6081056732397813,0.705
0.6068697204956641,0.705
0.6083670717019302,0.705
0.6068388269497798,0.705
0.608024354164417,0.705
0.6032647032004136,0.705
